宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
怀/B 孕/M 2/B 个/B 月/B 经/B 常/M 做/B 梦/M 高/B 潮/M
怀/B 孕/M 2/B 个/B 月/B 胎/B 儿/M 没/B 有/M 心/B 跳/M
怀/B 孕/M 3/B 个/B 半/B 月/M 肚/B 子/M 没/B 反/M 应/M
怀/B 孕/M 3/B 个/B 月/B 小/B 孩/M 头/B 在/B 右/B 面/M
怀/B 孕/M 3/B 个/B 月/B 打/B 胎/M 后/B 有/B 奶/B 水/M
怀/B 孕/M 3/B 个/B 月/B 时/B 候/M 喝/B 点/B 啤/B 酒/M
怀/B 孕/M 4/B 2/M 天/M 孕/B 酮/M 小/B 单/B 位/M 4/B 7/M 。/B
怀/B 孕/M 4/B 3/M 天/B ,/B 孕/B 酮/M 3/B 7/M ./M 1/M 正/B 常/M 吗/B
怀/B 孕/M 4/B 3/M 天/B 孕/B 酮/M 7/B 3/M ./M 5/M 8/M 正/B 常/M 吗/B
怀/B 孕/M 4/B 个/B 月/B 了/B 也/B 会/B 停/B 胎/B 吗/B
怀/B 孕/M 4/B 个/B 月/B 多/B 了/B 下/B 腹/M 疼/B 痛/M
怀/B 孕/M 5/B 个/B 半/B 月/M 突/B 然/M 流/B 鼻/M 血/M
怀/B 孕/M 5/B 个/B 月/B 下/B 腹/M 部/M 左/B 右/M 痛/B
怀/B 孕/M 5/B 个/B 月/B 了/B 天/B 天/M 特/B 别/M 热/B
怀/B 孕/M 5/B 个/B 月/B 了/B 练/B 车/B 后/B 不/B 适/M
怀/B 孕/M 5/B 个/B 月/B 做/B 引/B 产/M 的/B 方/B 法/M
怀/B 孕/M 5/B 个/B 月/B 头/B 晕/M 恶/B 心/M 耳/B 鸣/M
怀/B 孕/M 5/B 个/B 月/B 总/B 喜/B 欢/M 抻/B 懒/B 腰/M
怀/B 孕/M 5/B 个/B 月/B 想/B 要/M 自/B 然/M 流/M 产/M
怀/B 孕/M 5/B 个/B 月/B 打/B 掉/M 有/B 危/B 险/M 吗/B
怀/B 孕/M 5/B 个/B 月/B 晚/B 上/M 睡/B 觉/M 脚/B 麻/B
怀/B 孕/M 5/B 个/B 月/B 离/B 婚/M 孩/B 子/M 归/B 谁/M
怀/B 孕/M 5/B 个/B 月/B 肚/B 子/M 感/B 觉/M 痉/B 挛/M
怀/B 孕/M 5/B 个/B 月/B 肚/B 子/M 是/B 凉/B 凉/B 的/B
怀/B 孕/M 5/B 个/B 月/B 阴/B 阜/M 右/B 边/M 肿/B 痛/M
怀/B 孕/M 5/B 天/B 可/B 以/M 检/B 查/M 出/B 来/M 吗/B
怀/B 孕/M 6/B 个/B 半/B 月/M 胎/B 儿/M 有/B 多/M 重/M
怀/B 孕/M 6/B 个/B 多/B 月/B 产/B 检/B 都/B 正/B 常/M
怀/B 孕/M 6/B 个/B 多/B 月/B 宫/B 缩/M 的/B 原/B 因/M
怀/B 孕/M 6/B 个/B 月/B 老/M 是/B 磨/B 大/B 腿/M 根/B
怀/B 孕/M 6/B 周/B 性/B 腺/M 激/B 素/M 和/B 孕/B 酮/M
怀/B 孕/M 6/B 周/B 生/B 气/M 导/B 致/M 胎/B 停/M 育/M
怀/B 孕/M 7/B 个/B 月/B 肚/B 子/M 偶/B 尔/M 坠/B 痛/B
怀/B 孕/M 7/B 个/B 月/B 肚/B 子/M 疼/M 怎/B 么/M 办/M
怀/B 孕/M 7/B 个/B 月/B 胸/B 闷/M 气/B 短/M 无/B 力/M
怀/B 孕/M 7/B 个/B 月/B 要/B 不/M 要/M 吃/B 叶/B 酸/M
怀/B 孕/M 7/B 周/B 左/B 腹/B 部/M 隐/B 隐/M 作/M 痛/M
怀/B 孕/M 8/B 个/B 月/B 吃/B 什/M 么/M 会/B 滑/B 胎/B
怀/B 孕/M 8/B 个/B 月/B 肚/B 子/M 隐/B 隐/M 作/M 痛/M
怀/B 孕/M 8/B 个/B 月/B 肚/B 脐/M 眼/M 周/B 围/M 疼/B
怀/B 孕/M 9/B 个/B 月/B 感/B 觉/M 没/B 有/M 力/B 气/M
怀/B 孕/M 9/B 周/B h/B c/M g/M 涨/B 雌/B 二/M 醇/M 下/B 降/M
怀/B 孕/M 9/B 周/B 肚/B 子/M 没/B 什/M 么/M 变/B 化/M
怀/B 孕/M b/B 超/M 检/B 查/M 有/B 液/B 性/B 暗/B 区/M
怀/B 孕/M 一/B 个/M 月/M 后/B 吃/B 的/B 叶/B 酸/M ,/B
怀/B 孕/M 两/B 个/B 半/B 月/M ,/B 不/B 想/B 要/M 了/B
怀/B 孕/M 两/B 个/M 月/M ,/B 屁/B 股/M 骨/B 头/M 疼/B
怀/B 孕/M 两/B 个/M 月/M b/B 超/M 没/B 有/M 心/B 跳/M
怀/B 孕/M 两/B 个/M 月/M 了/B 可/B 能/M b/B 超/M 吗/B
怀/B 孕/M 主/B 要/M 看/B 人/B 绒/B 多/B 少/M 吗/B ?/B
怀/B 孕/M 了/B ,/B 乳/B 房/M 里/B 有/B 个/B 硬/B 块/M
怀/B 孕/M 二/B 十/M 天/B b/B 超/M 能/B 看/M 到/M 吗/B
怀/B 孕/M 俩/B 个/B 月/B 腿/B 乱/B 怎/B 么/M 办/M ?/B
怀/B 孕/M 做/B 完/M b/B 超/M 可/B 以/M 同/B 房/M 吗/B
怀/B 孕/M 六/B 个/B 多/B 月/B ,/B 阴/B 道/M 流/B 水/M
怀/B 孕/M 六/B 周/B 多/M 了/B h/B c/M g/M 才/B 1/B 0/M 0/M 0/M 多/B
怀/B 孕/M 初/B 期/M 出/B 血/M 能/B 清/B 洗/M 吗/B ?/B
怀/B 孕/M 初/B 次/M b/B 超/M 什/B 么/M 时/M 候/M 做/B
怀/B 孕/M 周/B 数/B 按/B b/B 超/M 还/B 是/M 月/B 经/M
怀/B 孕/M 周/B 期/M 多/B 久/M 做/B 一/B 次/M b/B 超/M
怀/B 孕/M 多/B 久/M 会/B 吐/B ,/B 要/B 吐/B 多/B 久/M
怀/B 孕/M 多/B 久/M 能/B 做/B b/B 超/M 查/B 出/B 来/M
怀/B 孕/M 晚/B 期/M 几/B 分/M 钟/M 痛/B 一/B 次/M
怀/B 孕/M 期/M 可/B 不/M 可/B 吃/B 维/B 生/M 素/M e/B
怀/B 孕/M 甲/B 减/M ,/B 产/B 后/M 还/B 甲/B 减/M 吗/B
怀/B 孕/M 第/B 7/B 周/B 有/B 些/M 什/B 么/M 症/B 状/M
怀/B 孕/M 额/B 头/M 上/B 长/B 小/B 疙/B 瘩/M ,/B 痒/B
急/B 性/M 乳/M 腺/M 炎/M 了/B 用/B 揉/B 奶/B 吗/B ?/B
急/B 性/M 湿/M 疹/M 大/B 量/M 渗/B 液/B 外/B 用/B ?/B
性/B 交/M 宫/B 颈/M 出/B 血/M 了/B ,/B 怎/B 么/M 办/M
总/B 感/B 觉/M 身/B 体/M 缺/B 水/M 怎/B 么/M 补/B
恶/B 性/M t/B 淋/B 巴/M 瘤/M 晚/B 期/M 的/B 症/B 状/M
想/B 锻/B 炼/M ,/B 不/B 知/M 道/M 怎/B 么/M 锻/B 炼/M
感/B 冒/M 可/B 以/M 吃/B 八/B 正/B 胶/B 囊/M 吗/B ?/B
感/B 冒/M 吃/B 了/B 感/B 康/M 食/B 欲/M 不/M 振/M
感/B 冒/M 后/B 牙/B 疼/M 脸/B 疼/B m/B ./M 1/M 2/M 0/M ./M n/M e/M t/M
感/B 冒/M 引/B 起/M 的/B 涨/B 奶/M 怎/B 么/M 办/M ?/B
感/B 冒/M 用/B 火/B 罐/M 儿/B 拔/B 那/B 儿/M 啊/B ?/B
感/B 冒/M 降/B 温/M 头/B 上/M 凉/B ,/B 身/B 上/M 热/B
慢/B 严/M 舒/M 柠/M 可/B 以/M 空/B 腹/M 喝/B 吗/B ?/B
慢/B 性/M 肾/M 炎/M 能/B 吃/B 食/B 用/M 盐/M 吗/B ?/B
慢/B 性/M 荨/B 麻/M 诊/B 有/B 什/B 么/M 症/B 状/M ?/B
慢/B 性/M 萎/B 缩/M 性/M 胃/M 炎/M 有/B 事/M 吗/B ?/B
成/B 人/M o/B 型/M 腿/M 矫/B 正/M 带/B 有/B 用/M 吗/B
成/B 年/M 人/M 血/B 液/M 占/B 体/B 重/M 多/B 少/M ?/B
成/B 熟/M 度/M 1/B 级/B 加/B 是/B 几/B 个/M 月/M 了/B
成/B 都/M 中/M 医/M 药/M 大/M 学/M 吴/B 建/M 英/M
成/B 都/M 华/B 西/M 急/B 诊/M 需/B 要/M 卡/B 吗/B ?/B
我/B 血/B 压/M 低/M 能/B 吃/B 阿/B 胶/M 浆/B 吗/B ?/B
房/B 事/M 过/B 后/M ,/B 老/B 婆/M 小/B 便/M 疼/B 痛/M
扁/B 桃/M 体/M 发/B 炎/M 偏/B 方/M 胡/B 萝/M 卜/M
手/B 心/M 烦/B 热/B 脚/B 热/B 是/B 什/M 么/M 情/B w/B
手/B 指/M 甲/M 盖/B 附/B 近/M 肉/B 变/B 色/M 了/B
手/B 术/M 后/B ,/B 小/B 腿/M 血/B 栓/M 怎/B 么/M 办/M
手/B 术/M 后/B 体/B 温/M 3/B 8/M ./M 5/M 度/B 正/B 常/M 吗/B
手/B 术/M 结/B 巴/M 可/B 以/M 洗/B 冷/B 水/M 么/B ?/B
手/B 肿/B 了/B 有/B 水/B 泡/M 看/B 什/B 么/M 科/B ?/B
手/B 被/B 轻/B 微/M 烫/B 伤/M ,/B 用/B 什/B 么/M 药/B
手/B 足/M 口/M 病/M 成/B 年/M 人/M 传/B 染/M 吗/B ?/B
打/B 好/B 胎/B 5/B 天/B 流/B 月/B 经/M 正/B 常/M 吗/B
打/B 耳/B 洞/M 后/B 必/B 须/M 带/B 银/B 的/B 吗/B
打/B 肉/B 毒/M 素/M 会/B 影/B 响/M 腮/B 腺/M 吗/B ?/B
打/B 雷/M 闪/B 电/M 会/B 打/B 到/B 屋/B 里/M 吗/B ?/B
抑/B 郁/M 症/M 可/B 以/M 响/B 受/B 哪/B 些/M 政/B ?/B
投/B 影/M 机/M 对/B 胎/B 儿/M 有/B 辐/B 射/M 吗/B ?/B
抗/B 原/M 1/B 2/M 5/M 1/B 9/M 9/M 子/B 宫/M 内/M 膜/M 异/M 位/M
抗/B 梅/B 毒/M 抗/B 体/M 滴/B 度/M 阴/B 性/M 个/B 1/B
护/B 脊/B 书/B 包/M 太/B 重/B 有/B 影/B 响/M 吗/B ?/B
拉/B 稀/M 拉/B 不/B 干/B 净/M ,/B 胃/B 老/B 胀/B 气/M
拉/B 粑/B 粑/M 拉/B 出/B 好/B 多/M 血/B ,/B 很/B 痒/B
拍/B 个/B 普/B 通/M x/B 光/M 片/B 子/M 多/B 少/M 钱/B
拔/B 了/B 大/B 牙/M 说/B 话/M 有/B 影/B 响/M 吗/B ?/B
拔/B 立/B 事/M 牙/M 还/B 用/B 杀/B 神/B 经/M 么/B
拨/B 号/M 神/B 器/M 医/B 院/M 预/B 约/M 建/B 档/M
拨/B 法/B 可/B 以/M 治/B 疗/M 足/B 内/B 翻/M 吗/B ?/B
指/B 甲/M 脆/B ,/B 容/B 易/M 断/B 怎/B 么/M 回/M 事/M
指/B 甲/M 让/B 门/B 夹/B 紫/B 了/B 怎/B 么/M 办/M
排/B 卵/M 后/B 6/B 天/B 怎/B 么/M 来/B 月/B 经/M 了/B
排/B 卵/M 期/M 卵/B 泡/M 1/B ./M 5/M x/M 1/M ./M 3/M 成/B 熟/M 吗/B
排/B 卵/M 期/M 后/B ,/B 着/B 床/M 会/B 发/B 低/B 烧/M
排/B 卵/M 期/M 左/B 边/M 小/B 腹/M 痛/M 多/B 久/M ?/B
排/B 卵/M 期/M 弱/B 到/B 阴/B 有/B 几/B 小/B 时/M ?/B
握/B 持/M 反/B 射/M 6/B 个/B 月/B 还/B 不/B 消/B 失/M
支/B 气/M 管/M 炎/M 好/B 了/B 又/B 咳/B 嗽/M 了/B
放/B 环/M 了/B 四/B 年/B ,/B 会/B 不/M 会/M 怀/B 孕/M
放/B 疗/M 引/B 起/M 炎/B 症/M 吃/B 什/M 么/M 药/B ?/B
整/B 容/M 上/B 捡/B 下/B 垂/M 有/B 效/M 果/M 吗/B ?/B
新/B 生/M 儿/M 1/B 0/M 天/B 每/B 天/M 拉/B 一/B 次/M
新/B 生/M 儿/M 3/B 个/B 月/B 后/B 用/B 定/B 型/M 枕/B
新/B 生/M 儿/M 一/B 直/M 睡/B 觉/M 好/B 不/M 好/M ?/B
新/B 生/M 儿/M 大/B 动/M 脉/M 转/B 位/M 微/B 创/M
新/B 生/M 儿/M 间/B 质/M 性/M 肺/M 炎/M x/B 胸/B 片/M
新/B 生/M 儿/M 黄/B 疸/M 反/B 弹/M 怎/B 么/M 办/M ?/B
新/B 疆/M 湿/B 疣/M 医/B 院/M 中/B 山/M ./B 必/B 询/B
无/B 创/B d/B n/M a/M 三/B 次/B 抽/B 血/M 浓/B 度/M 低/B
无/B 限/M 极/M 钙/B 片/M 怎/B 么/M 样/M 吃/B 好/B ?/B
日/B 本/M 药/B 品/M 幽/B 门/M 螺/B 旋/M 杆/B 菌/M
早/B 上/M 喝/B 红/B 豆/M 薏/B 米/M 粥/M 减/B 肥/M ?/B
早/B 上/M 起/B 床/M 胃/B 胀/M ,/B 想/B 上/B 厕/M 所/M
早/B 上/M 起/M 来/M 拉/B 肚/M 子/M 怎/B 么/M 办/M ?/B
早/B 孕/M 7/B 周/B 咳/B 嗽/M 厉/B 害/M 怎/B 么/M 办/M
早/B 起/B 床/M 床/B 头/M 有/B 血/B ,/B 怎/B 么/M 啦/M
旺/B 苍/M 县/M 医/B 院/M 能/B 冶/B 腰/B 突/M 吗/B ?/B
昆/B 明/M 医/B 院/M 隆/B 鼻/M 的/B 价/B 格/M 表/M
昆/B 明/M 同/B 仁/M 医/M 院/M 要/B 多/B 少/M 钱/B ?/B
昨/B 天/M 移/B 植/M 今/B 天/M 就/B 来/B 月/B j/B i/M n/M g/M
晚/B 上/M 喝/B 蜂/B 蜜/M 水/B 会/B 瘦/B 多/B 少/M ?/B
普/B 通/M b/B 超/M 能/B 检/B 查/M 脐/B 血/M 流/B 吗/B
智/B 齿/M 只/B 长/B 出/B 一/B 点/B 能/B 拔/B 吗/B ?/B
更/B 年/M 期/M 停/B 经/M 8/B 个/B 月/B 又/B 来/B 了/B
月/B 末/M 来/B 完/B 姨/B 妈/M 月/B 初/B 又/B 来/B
月/B 经/M 不/B 正/B 常/M ,/B 医/B 生/M 让/B 验/B 血/M
月/B 经/M 刚/B 走/B ,/B 做/B 爱/M 会/B 怀/B 孕/M 吗/B
月/B 经/M 到/B 多/B 少/M 岁/B 才/B 会/M 没/B 有/M ?/B
月/B 经/M 半/B 年/M 不/B 正/B 常/M 怎/B 么/M 办/M ?/B
月/B 经/M 大/B 量/M 出/B 血/M 肚/B 子/M 很/B 疼/B
月/B 经/M 完/B 后/B 前/B 三/B 天/M 好/B 减/B 肥/M ?/B
月/B 经/M 少/B 黑/B 粘/B 是/B 怎/B 么/M 回/M 事/M ?/B
月/B 经/M 干/B 净/M 7/B 天/B 后/M 又/B 有/B 出/B 血/M
月/B 经/M 干/B 净/M 后/B 适/B 合/M 刮/B 痧/M 吗/B ?/B
月/B 经/M 推/B 迟/M 一/B 周/B ,/B 有/B 药/B 可/B 以/M
月/B 经/M 提/B 前/M 5/B 天/B 就/B 一/M 点/M 褐/B 色/M
月/B 经/M 期/M 鸡/B 用/B 什/B 么/M 煲/B 汤/M 好/B
月/B 经/M 期/M 可/B 以/M 吃/B 绿/B 豆/M 芽/M 吗/B ?/B
月/B 经/M 期/M 没/B 血/B 可/B 以/M 做/B b/B 超/M 吗/B
月/B 经/M 期/M 间/M 可/B 以/M 吃/B 禅/B 食/M 吗/B ?/B
月/B 经/M 来/B 了/B 腰/B 一/B 阵/M 阵/M 的/B 疼/B
月/B 经/M 来/B 可/B 以/M 吃/B 维/B 生/M 素/M e/B 吗/B
月/B 经/M 没/B 干/B 净/M 可/B 以/M 做/B b/B 超/M 吗/B
月/B 经/M 第/B 一/M 天/M 做/B b/B 超/M 有/B 卵/B 泡/M
有/B 一/B 种/B 药/B 见/B 康/B 什/B 么/M 灵/B 的/B ?/B
有/B 什/B 么/M 指/B 法/M 可/B 以/M 瘦/B 大/B 腿/M
有/B 伤/B 口/M 可/B 以/M 吃/B 豆/B 奶/M 粉/M 吗/B ?/B
有/B 多/B 襄/B 卵/B 巢/M 腹/B 部/M 会/B 痛/B 吗/B ?/B
有/B 必/M 要/M 带/B 2/B 周/B 岁/M 孩/B 子/M 旅/B 游/M
有/B 用/M 核/B 桃/M 治/B 月/B 子/M 病/M 的/B 吗/B ?/B
有/B 肌/B 瘤/M 夜/B 里/M 能/B 吃/B 榴/B 莲/M 吗/B ?/B
服/B 用/M 羊/B 胎/M 素/M 可/B 以/M 喝/B 茶/M 吗/B
未/B 成/M 年/M 人/M 可/B 以/M 拔/B 火/M 罐/M 不/B ?/B
杀/B 菌/M 剂/M 对/B 花/B 生/M 有/B 影/B 响/M 吗/B ?/B
杜/B 海/M 涛/M 何/B 时/M 开/B 始/M 减/B 肥/M 的/B ?/B
来/B 大/B 姨/M 妈/M 前/B 乳/B 房/M 会/B 涨/B 吗/B ?/B
来/B 大/B 姨/M 妈/M 可/B 以/M 吃/B 牛/B 肉/M 吗/B ?/B
来/B 大/B 姨/M 妈/M 可/B 以/M 吃/B 苹/M 果/M 吗/B ?/B
来/B 月/B 经/M 时/B 的/B 宫/B 颈/M b/B 超/M 图/B 片/M
来/B 月/B 经/M 期/M 间/M 可/B 以/M 做/B 眉/B 吗/B ?/B
来/B 月/B 经/M 肚/B 子/M 不/B 痛/M ,/B 头/B 很/B 痛/B
杭/B 州/M 脏/B 支/B 架/M 哪/B 家/B 医/B 院/M 好/B !/B
杰/B 霸/M 士/M 避/B 孕/M 套/M 有/B 8/B 只/B 装/B 吗/B
极/B 远/B 的/B 又/B 是/B 极/B 近/B 的/B 仿/B 写/B
林/B 博/M 士/M 吸/B 油/B 瘦/B 身/M 汤/M ,/B 多/B 钱/B
柠/B 檬/M 4/B 水/B 白/B 天/M 可/B 以/M 洗/B 脸/M 吗/B
查/B 怀/B 孕/M 做/B b/B 超/M 可/B 以/M 吃/B 饭/M 么/B
柴/B 胡/M 体/B 质/M 黄/B 芪/M 体/B 质/M 结/B 合/M
柿/B 子/M 能/B 和/B 鸡/B 旦/B 一/B 起/M 吃/B 吗/B ?/B
桂/B 圆/M 搜/B 跟/B 什/B 么/M 泡/B 茶/M 好/B 呢/B ?/B
检/B 查/M 行/B 李/M 箱/M x/B 光/M 有/B 辐/B 射/M 吗/B
橙/B 子/M 在/B 八/B 月/M 份/M 吃/B 不/B 好/M 吧/B ?/B
欧/B 米/M 伽/M 3/B 鱼/B 油/M 软/B 胶/M 囊/M 价/B 格/M
武/B 汉/M 中/B 医/M 院/M 湖/B 北/M 中/B 医/M 院/M
武/B 汉/M 同/B 济/M 协/B 和/M 看/B 肾/B 病/M 好/B
武/B 汉/M 检/B 查/M 妇/B 科/M 检/M 查/M 项/B 目/M
武/B 警/M 总/B 医/M 院/M 乳/B 腺/M 炎/M 按/B 摩/M
死/B 胎/M 在/B 子/B 宫/M 里/B 会/B 发/B 言/M 吗/B ?/B
母/B 子/M 孕/B 5/B 月/B 彩/B 超/M 要/B 憋/B 尿/M 吗/B
每/B 个/M 月/M 月/B 经/M 非/B 常/M 多/B ,/B 贫/B 血/M
每/B 天/M 看/B 书/M 会/B 引/M 起/M 头/B 晕/M 吗/B ?/B
每/B 天/M 适/B 合/M 吃/B 多/B 少/M 克/B 红/B 枣/M !/B
每/B 年/M 死/B 于/M 慢/B 性/M 病/M 的/B 人/B 数/M ?/B
每/B 月/M 来/B 例/B 假/M ,/B 但/B 是/M 怀/B 孕/M 了/B
每/B 月/M 来/B 例/B 假/M 还/B 会/M 怀/B 孕/M 吗/B ?/B
每/B 次/M 睡/B 醒/M 后/B 脚/B 大/B 母/B 指/B 麻/B ?/B
